Saladas,Acelga com tomate picado,"Chicória com cenoura
ralada",Alface com rabanete,Almeirão com cenoura,,Alface com repolho,
,,,,,,,
,Beterraba cozida,"Chuchu colorido
Fruta","Grão de bico com cenoura
cozida","Repolho cozido
Fruta",Abobrinha colorida,,
,,,,,,Abobrinha colorida,
,,,,,,,
,,,,,,,
Acompanhamento,Arroz Branco,Arroz Branco,"Arroz Branco/arroz
colorido",Arroz Branco,Arroz Branco,,
,Feijão Preto,Feijão Carioca,Feijão Preto,Feijão Preto,Feijão Preto,,
,,,,,,,
Guarnição,Aipim souté,Espaguete ao molho sugo,Quirerinha temperada,"Batata doce
caramelada","Macarrão com ervas
finas",,
,,,,,,,
Vegetariano,Omelete de forno,Entreveiro de legumes,"Escondidinho de cabotiá
com proteína de soja","Mini pizza de
abobrinha",Ovo ao molho,,
,,,,,,,
Prato Principal,Iscas suínas refogadas,Espetinho de frango,Bife a tomatelli,Pernil grelhado,Frango assado,,
